,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
0,bowling green,19000,2019,ford,fusion hybrid,excellent,26242,automatic,fwd,sedan,red
1,tulsa,11590,2017,ford,fiesta se hatchback 4d,good,19179,other,fwd,hatchback,red
2,tyler / east TX,51990,2017,chevrolet,camaro zl1 coupe 2d,good,21608,other,rwd,coupe,red
3,minneapolis / st paul,1500,2007,ford,five hundred limited,fair,247188,automatic,4wd,sedan,grey
4,pittsburgh,16200,2011,mercedes-benz,benz slk300,good,43900,automatic,rwd,convertible,silver
5,nashville,7995,2009,bmw,x3 3.0si,excellent,141000,automatic,4wd,SUV,white
6,fort collins / north CO,5600,2004,honda,pilot ex-l w/res,excellent,209905,automatic,4wd,SUV,green
7,heartland florida,30700,2015,chevrolet,tahoe ltz suv 4x4,excellent,115764,automatic,4wd,SUV,grey
8,"st louis, MO",4250,2008,ford,escape xlt,excellent,187636,automatic,fwd,SUV,blue
9,eastern CT,29985,2017,ram,1500,good,107260,automatic,4wd,truck,black
10,chattanooga,7000,2012,chevrolet,impala ltz,good,107026,automatic,fwd,sedan,white
11,st cloud,5000,2011,chevrolet,malibu lt,good,144000,other,fwd,sedan,grey
12,roanoke,10499,2011,ford,mustang coupe 2dr,excellent,83834,manual,rwd,coupe,red
13,charlotte,4995,2012,dodge,grand caravan se,excellent,165000,automatic,fwd,van,silver
14,vermont,7999,2009,bmw,128,excellent,107000,automatic,rwd,coupe,blue
15,long island,900,2000,nissan,maxima se,fair,160553,automatic,fwd,sedan,black
16,green bay,1500,2002,ford,escort,fair,132000,automatic,fwd,coupe,red
17,knoxville,4450,2002,toyota,sequoia,excellent,267000,automatic,4wd,SUV,green
18,cincinnati,3400,2007,chrysler,pt cruiser,good,75000,automatic,fwd,wagon,white
19,asheville,10889,2013,ford,mustang,good,131695,automatic,rwd,coupe,white
20,colorado springs,14999,2016,nissan,rogue,excellent,52473,automatic,4wd,SUV,red
21,atlanta,1799,2000,nissan,altima,like new,156000,automatic,fwd,sedan,black
22,albany,34990,2016,ford,super duty f-650 straight frame,good,106561,automatic,rwd,truck,white
23,memphis,38990,2020,kia,telluride s sport utility 4d,good,10986,other,fwd,other,black
24,south jersey,6995,2005,lexus,es 330,excellent,103000,automatic,fwd,sedan,white
25,san antonio,29000,2015,gmc,yukon xl,good,118500,automatic,4wd,SUV,grey
26,topeka,4995,2007,mazda,cx-7,good,131630,automatic,fwd,SUV,silver
27,cleveland,0,2018,ford,f550,like new,96216,automatic,4wd,pickup,white
28,omaha / council bluffs,39990,2016,mitsubishi,fuso fe180,good,33474,automatic,rwd,truck,white
29,frederick,30990,2014,chevrolet,silverado 2500 hd crew,good,49863,automatic,4wd,pickup,red
30,rochester,10990,2011,mini,hardtop cooper s hatchback,good,97303,other,fwd,hatchback,red
31,modesto,5500,2012,volkswagen,passat,excellent,144959,automatic,fwd,sedan,silver
32,new york city,6000,2009,audi,q5 3.2 quattro premium,like new,150223,automatic,4wd,SUV,white
33,bend,3945,2003,acura,mdx,excellent,253188,automatic,4wd,SUV,white
34,des moines,3900,2009,chevrolet,cobalt ls coupe,good,102361,manual,fwd,coupe,silver
35,madison,7000,2014,volkswagen,jetta,excellent,96000,automatic,fwd,wagon,blue
36,orange county,37950,2017,ford,f250 super duty xl,excellent,148136,automatic,4wd,truck,white
37,waterloo / cedar falls,3995,2007,buick,lacrosse,good,174034,automatic,fwd,sedan,blue
38,reno / tahoe,26995,2014,ram,2500,excellent,113125,manual,4wd,pickup,red
39,greenville / upstate,0,2014,kia,sorento 2wd 4dr i4 lx,good,105168,automatic,fwd,other,white
40,grand rapids,2100,2008,nissan,versa,good,200000,automatic,fwd,sedan,blue
41,south jersey,7999,2013,nissan,altima,good,132529,automatic,fwd,sedan,custom
42,south bend / michiana,5999,2007,kia,sportage,excellent,109938,automatic,fwd,SUV,grey
43,atlanta,12995,2011,chevrolet,express 1500,good,64000,automatic,fwd,van,blue
44,"kansas city, MO",22000,2004,jeep,wrangler rubicon 4x4,excellent,50900,automatic,4wd,SUV,red
45,grand rapids,30500,2016,ford,f150,excellent,59000,automatic,4wd,truck,white
46,dallas / fort worth,12500,2009,ford,f450 passenger mobility,excellent,166165,automatic,rwd,van,white
47,norfolk / hampton roads,16990,2013,bmw,3 series 328i coupe 2d,good,46678,automatic,rwd,coupe,grey
48,bozeman,6670,2013,chevrolet,spark,good,77932,automatic,fwd,hatchback,silver
49,baltimore,34990,2017,ram,1500 crew cab slt pickup 4d,good,27401,other,4wd,pickup,black
50,duluth / superior,1995,2005,hyundai,santa fe,good,169800,automatic,4wd,SUV,black
51,ft myers / SW florida,38990,2014,toyota,fj cruiser sport utility,good,42531,other,4wd,SUV,black
52,des moines,11450,2015,chrysler,town and country,good,71212,automatic,fwd,mini-van,grey
53,minneapolis / st paul,2495,2008,pontiac,g6,good,160576,automatic,fwd,sedan,grey
54,central NJ,23990,2014,bmw,5 series 528i sedan 4d,good,32136,automatic,rwd,sedan,white
55,cedar rapids,3995,2007,honda,odyssey,good,194000,automatic,fwd,van,red
56,columbus,5850,2007,honda,cr-v,excellent,184570,automatic,4wd,SUV,silver
57,rhode island,8995,2013,ford,flex sel awd,like new,139000,automatic,4wd,SUV,grey
58,missoula,22900,2016,ram,1500,excellent,68000,automatic,4wd,truck,black
59,sacramento,32000,2016,toyota,tacoma,excellent,61000,automatic,4wd,truck,white
60,knoxville,20500,2016,bmw,328i,like new,21700,automatic,rwd,sedan,black
61,bemidji,10990,2006,jeep,wrangler sport 4x4,good,158335,manual,4wd,SUV,blue
62,syracuse,4400,2008,subaru,impreza,good,176000,automatic,4wd,sedan,red
63,baltimore,4975,2009,chevrolet,equinox,excellent,124000,automatic,fwd,SUV,black
64,ft myers / SW florida,12199,2013,toyota,rav4 le awd,excellent,102412,automatic,4wd,SUV,grey
65,york,42990,2014,chevrolet,corvette stingray,good,20762,other,rwd,coupe,blue
66,"quad cities, IA/IL",4200,2004,ford,ranger,good,102000,automatic,rwd,pickup,black
67,youngstown,31990,2014,gmc,sierra 1500 double cab slt,good,84088,other,4wd,pickup,grey
68,augusta,18990,2011,ford,ranger super cab xlt pickup,good,55472,other,4wd,pickup,blue
69,dallas / fort worth,12998,2011,bmw,3 series 335d sport,excellent,108177,automatic,rwd,sedan,grey
70,tucson,47990,2019,lexus,gx 460 sport utility 4d,good,8618,automatic,4wd,other,white
71,ft myers / SW florida,29900,2017,ford,f-150 xlt,excellent,24600,automatic,rwd,truck,white
72,south florida,2200,2008,kia,amanti,salvage,129700,automatic,fwd,sedan,black
73,tampa bay area,6995,2012,nissan,leaf sl,excellent,31934,automatic,fwd,hatchback,white
74,asheville,13450,2019,volkswagen,jetta,excellent,18266,manual,fwd,sedan,white
75,grand rapids,10990,2011,mini,hardtop cooper s hatchback,good,97303,other,fwd,hatchback,red
76,cincinnati,40590,2018,gmc,sierra 1500 crew cab slt,good,12489,other,4wd,pickup,silver
77,denver,13990,2016,chevrolet,impala limited ltz,good,59161,other,fwd,sedan,silver
78,ventura county,21595,2016,mercedes-benz,c-class,excellent,42470,automatic,rwd,sedan,black
79,ventura county,32590,2017,lexus,rx 350 f sport suv 4d,good,25335,other,fwd,other,black
80,las vegas,28990,2017,chevrolet,silverado 1500 double,good,28466,automatic,4wd,pickup,red
81,jersey shore,2500,2002,toyota,avalon xls,excellent,373000,automatic,fwd,sedan,silver
82,el paso,14995,2014,ford,transit connect,good,31480,automatic,fwd,van,black
83,bozeman,38000,2014,gmc,2500hd sierra denali duramax,excellent,117000,automatic,4wd,pickup,black
84,fresno / madera,15990,2013,toyota,avalon limited sedan 4d,good,59254,automatic,fwd,sedan,blue
85,madison,16000,2003,chevrolet,monte carlo ls,like new,702,automatic,fwd,coupe,blue
86,lynchburg,19950,2013,chevrolet,silverado 1500,excellent,153422,automatic,fwd,truck,blue
87,boise,22995,2006,ram,2500 slt,excellent,205224,manual,4wd,truck,white
88,harrisonburg,29990,2017,jeep,wrangler unlimited sport s,good,26451,other,4wd,other,blue
89,monterey bay,20900,2019,nissan,altima 2.5 s,good,25261,other,fwd,sedan,white
90,statesboro,37590,2020,jeep,wrangler unlimited sport s,good,21489,automatic,4wd,other,black
91,anchorage / mat-su,23995,2016,honda,cr-v,excellent,54589,automatic,4wd,SUV,grey
92,columbia / jeff city,22823,2014,chevrolet,silverado 1500 lt,excellent,101288,automatic,4wd,truck,white
93,portland,10400,2015,kia,soul,good,47500,automatic,fwd,hatchback,grey
94,springfield,28900,2015,ram,3500,good,128819,automatic,4wd,truck,custom
95,seattle-tacoma,1900,2005,hyundai,accent,good,140900,automatic,fwd,hatchback,silver
96,columbus,3995,2013,chrysler,200 lx 4dr sedan,excellent,123942,automatic,fwd,sedan,grey
97,jacksonville,9500,2014,chevrolet,equinox lt,excellent,105612,automatic,fwd,SUV,grey
98,youngstown,3500,2010,dodge,caliber sxt,excellent,108500,automatic,fwd,hatchback,blue
99,victoria,48500,2014,ram,3500,excellent,184000,automatic,4wd,truck,white
100,clarksville,43000,2017,gmc,sierra 1500,excellent,38000,automatic,4wd,truck,black
101,"washington, DC",8500,2007,infiniti,g35,good,119373,manual,rwd,coupe,red
102,pittsburgh,16590,2014,mini,hardtop cooper s hatchback,good,24596,other,fwd,hatchback,green
103,joplin,27443,2016,chevrolet,silverado 1500,excellent,123480,automatic,4wd,truck,blue
104,pittsburgh,13775,2014,ford,explorer,excellent,116934,automatic,4wd,SUV,grey
105,ann arbor,22990,2013,chevrolet,silverado 1500,good,68708,other,4wd,pickup,silver
106,ventura county,30990,2011,mercedes-benz,sl-class sl 550,good,39272,automatic,rwd,other,black
107,phoenix,30950,2015,infiniti,qx80 awd,excellent,78000,automatic,4wd,SUV,grey
108,el paso,31995,2014,gmc,sierra 1500,excellent,115771,automatic,4wd,pickup,white
109,st augustine,35500,2016,lexus,ls460,excellent,55891,automatic,rwd,sedan,red
110,charlotte,14999,2017,volkswagen,golf,like new,24000,manual,4wd,hatchback,silver
111,memphis,26590,2014,chevrolet,silverado 1500 regular,good,43943,automatic,4wd,pickup,white
112,wichita,40990,2017,ford,super duty f-650 straight frame,good,85162,automatic,rwd,truck,white
113,wausau,3150,2010,hyundai,elantra,excellent,160430,automatic,fwd,sedan,red
114,inland empire,11995,2011,jeep,grand cherokee laredo 4wd,like new,98943,automatic,4wd,SUV,silver
115,champaign urbana,11977,2015,toyota,corolla s,like new,67305,automatic,fwd,sedan,white
116,bakersfield,11990,2016,chevrolet,cruze limited 1lt,good,34064,automatic,fwd,sedan,silver
117,orlando,9400,2016,chevrolet,sonic,like new,25987,automatic,fwd,sedan,silver
118,des moines,14500,2013,jeep,grand cherokee limited,good,110090,automatic,4wd,SUV,white
119,new hampshire,29999,2020,ram,1500,new,1,automatic,4wd,pickup,white
120,rhode island,15990,2013,nissan,pathfinder,like new,68960,automatic,4wd,SUV,silver
121,greenville / upstate,15900,2019,nissan,sentra,like new,18500,automatic,fwd,sedan,grey
122,rochester,14995,2016,subaru,forester 2.5i premium,excellent,67974,automatic,4wd,SUV,black
123,eau claire,5999,2010,jeep,compass,excellent,123300,automatic,4wd,SUV,green
124,stockton,5350,2006,honda,pilot ex 4wd,excellent,167223,automatic,4wd,SUV,green
125,"washington, DC",25000,2004,cadillac,xlr convertible,excellent,16000,automatic,rwd,convertible,black
126,boise,5995,2010,chevrolet,impala,good,152957,automatic,fwd,sedan,custom
127,bend,6500,1990,ford,bronco ii,good,100887,automatic,4wd,SUV,blue
128,columbus,16850,2012,infiniti,qx 56,excellent,137582,automatic,4wd,SUV,white
129,pensacola,12500,2014,nissan,pathfinder 2wd 4dr sv,like new,73549,automatic,fwd,SUV,blue
130,jackson,15000,2013,honda,cr-v ex-l,excellent,78561,automatic,fwd,SUV,silver
131,charleston,8950,1996,gmc,c/k .500 utility body,excellent,162345,automatic,rwd,truck,white
132,anchorage / mat-su,20900,2019,nissan,frontier sl crew cab,like new,11,automatic,4wd,truck,silver
133,buffalo,13399,2015,subaru,forester 2.5i premium,like new,101457,automatic,4wd,SUV,white
134,tampa bay area,7000,1993,mazda,miata,excellent,126561,manual,rwd,convertible,red
135,akron / canton,8500,2009,chevrolet,express 2500,good,133858,automatic,rwd,van,white
136,albuquerque,24995,2007,ram,2500,good,135449,automatic,4wd,truck,red
137,brainerd,8595,2013,ford,edge,excellent,146598,automatic,fwd,SUV,white
138,inland empire,18900,2012,ford,f-150,excellent,0,automatic,rwd,truck,silver
139,hawaii,22995,2017,mazda,cx-9,good,34553,automatic,fwd,SUV,black
140,austin,3800,2005,jeep,liberty,excellent,162000,automatic,rwd,SUV,blue
141,maine,10900,2014,nissan,pathfinder,good,92055,automatic,4wd,SUV,silver
142,cleveland,1935,1999,saturn,sl2,good,130000,automatic,fwd,sedan,green
143,south jersey,29990,2015,ford,mustang gt premium coupe 2d,good,5465,other,rwd,coupe,grey
144,cedar rapids,3900,2006,volkswagen,beetle,excellent,80000,automatic,fwd,convertible,blue
145,eugene,9500,2009,subaru,impreza,excellent,113300,other,4wd,wagon,silver
146,anchorage / mat-su,13750,2011,dodge,journey mainstreet awd,excellent,41973,automatic,4wd,SUV,yellow
147,jacksonville,9950,2007,honda,cr-v,good,111084,automatic,4wd,wagon,custom
148,fargo / moorhead,28995,2016,chevrolet,colorado z71,excellent,57201,automatic,4wd,pickup,black
149,atlanta,34990,2017,toyota,4runner sr5 sport utility,good,23259,automatic,4wd,other,silver
150,jacksonville,6900,2010,honda,odyssey ex,good,143830,automatic,fwd,mini-van,grey
151,grand rapids,30590,2020,nissan,370z coupe 2d,good,7149,manual,rwd,coupe,black
152,omaha / council bluffs,1000,1989,ford,f-150,good,212000,manual,rwd,pickup,blue
153,anchorage / mat-su,50995,2019,bmw,x3 m40i m sport pkg awd,excellent,12989,automatic,4wd,SUV,white
154,south jersey,8299,2013,subaru,legacy,excellent,98600,automatic,4wd,sedan,blue
155,jacksonville,21000,2006,ram,2500,excellent,185530,automatic,4wd,truck,red
156,york,10995,2004,toyota,tundra sr5,good,144924,automatic,rwd,truck,white
157,flint,0,2007,ford,mustang deluxe convertible,excellent,90247,automatic,rwd,convertible,white
158,albany,22990,2017,volkswagen,golf gti sport,good,18343,other,fwd,sedan,blue
159,albany,3000,2003,mercedes-benz,benz s500 4matic,good,160000,automatic,4wd,sedan,custom
160,hudson valley,3700,2006,honda,odyssey,like new,252074,automatic,fwd,van,blue
161,wilmington,28990,2014,gmc,sierra 1500 double cab sle,good,42996,other,4wd,pickup,red
162,el paso,9995,2017,chevrolet,cruze lt,excellent,107000,automatic,fwd,sedan,red
163,greensboro,23990,2013,lincoln,navigator sport utility,good,73242,other,4wd,SUV,white
164,lansing,8900,2015,jeep,patriot 4x4,good,82000,automatic,4wd,SUV,grey
165,texoma,7750,2005,chrysler,crossfire convertible,excellent,85000,manual,rwd,convertible,black
166,new hampshire,26900,2015,chevrolet,silverado 1500 shortbed,like new,98460,automatic,4wd,pickup,white
167,mobile,21995,2017,ford,expedition,good,94996,automatic,rwd,SUV,grey
168,springfield,0,2005,chrysler,town country,excellent,204818,automatic,fwd,van,red
169,maine,7995,2009,pontiac,vibe awd,excellent,97797,automatic,4wd,hatchback,grey
170,ft myers / SW florida,45990,2014,porsche,cayman s coupe 2d,good,39798,other,rwd,coupe,black
171,raleigh / durham / CH,18550,2016,chevrolet,colorado,excellent,69529,automatic,rwd,truck,white
172,amarillo,32500,2015,bmw,640i,excellent,60500,automatic,rwd,coupe,black
173,stockton,11995,2014,chrysler,300,like new,81196,automatic,rwd,sedan,grey
174,syracuse,25900,2015,ram,1500,excellent,87008,automatic,4wd,truck,black
175,las vegas,14990,2014,hyundai,azera sedan 4d,good,42056,automatic,fwd,sedan,white
176,flagstaff / sedona,15500,2013,toyota,tacoma,excellent,107550,automatic,rwd,truck,silver
177,kalamazoo,12000,2010,gmc,yukon xl,good,185000,automatic,4wd,SUV,black
178,springfield,35900,2018,ford,f350 xl super duty,excellent,65236,automatic,4wd,truck,white
179,charlotte,7999,2013,honda,civic hybrid,excellent,80000,automatic,fwd,sedan,grey
180,santa barbara,20590,2012,mercedes-benz,e-class e 350,good,72989,automatic,rwd,other,white
181,eau claire,12590,2012,honda,civic lx coupe 2d,good,60037,other,fwd,coupe,black
182,lawton,0,2013,honda,cr-v,excellent,134788,automatic,4wd,SUV,red
183,chicago,34750,2016,bmw,x5,excellent,45366,automatic,4wd,SUV,black
184,"kansas city, MO",7980,2010,honda,accord,excellent,133450,automatic,fwd,sedan,silver
185,dayton / springfield,19590,2016,buick,cascada premium,good,37913,other,fwd,other,black
186,muskegon,8995,2007,gmc,yukon denali,excellent,206000,automatic,4wd,SUV,silver
187,sioux falls / SE SD,35995,2018,chevrolet,silverado 1500,like new,43000,automatic,4wd,truck,red
188,boston,6800,2009,infiniti,g37xs,good,140000,automatic,4wd,sedan,black
189,"washington, DC",38845,2021,honda,civic type r,new,5,manual,fwd,hatchback,custom
190,appleton-oshkosh-FDL,11300,2010,gmc,acadia awd,like new,103000,automatic,4wd,SUV,black
191,corvallis/albany,0,2015,chevrolet,tahoe,excellent,102789,automatic,4wd,SUV,black
192,duluth / superior,7000,2008,honda,civic,good,61000,manual,fwd,coupe,red
193,los angeles,7995,2013,volkswagen,jetta,excellent,110152,automatic,fwd,sedan,white
194,asheville,4900,2012,dodge,avenger,good,135590,automatic,fwd,sedan,black
195,nashville,25000,2014,chevrolet,silverado 1500,excellent,107886,automatic,4wd,pickup,red
196,milwaukee,15495,2010,chevrolet,silverado 1500,excellent,143852,automatic,4wd,pickup,silver
197,minneapolis / st paul,2500,2003,jeep,liberty,good,198000,automatic,4wd,SUV,green
198,vermont,22900,2017,nissan,frontier sv,excellent,32309,automatic,4wd,truck,silver
199,bozeman,49500,2018,porsche,cayenne,excellent,12700,automatic,4wd,SUV,grey
200,grand rapids,10900,2015,ford,transit connect,good,141584,automatic,fwd,van,white
201,vermont,23995,2019,subaru,outback limited,like new,15000,automatic,4wd,wagon,white
202,boston,8995,2013,kia,sorento ex,excellent,123564,automatic,4wd,SUV,red
203,appleton-oshkosh-FDL,4450,2004,honda,odyssey ex,good,117000,automatic,fwd,mini-van,silver
204,orlando,6800,2010,bmw,328i,excellent,91600,automatic,rwd,sedan,black
205,new hampshire,800,1997,cadillac,deville,good,153000,automatic,fwd,sedan,red
206,long island,41990,2015,ford,super duty f-350 drw,good,40241,automatic,4wd,truck,silver
207,detroit metro,5995,2010,dodge,avenger,good,135510,automatic,fwd,sedan,grey
208,eugene,12980,2016,ford,fusion,good,91395,automatic,fwd,sedan,silver
209,buffalo,13990,2014,bmw,i3 hatchback 4d,good,28446,other,rwd,hatchback,silver
210,south florida,3500,2010,toyota,camry,good,200000,automatic,fwd,sedan,black
211,wilmington,5990,2009,acura,rdx,good,156000,automatic,4wd,SUV,grey
212,norfolk / hampton roads,3995,2004,gmc,envoy xl,excellent,128896,automatic,rwd,SUV,blue
213,phoenix,6500,2012,honda,civic sdn,good,159003,automatic,fwd,sedan,white
214,winchester,22980,2015,chevrolet,silverado 1500,like new,103851,automatic,4wd,pickup,black
215,florence,32990,2017,ram,1500 crew cab slt pickup 4d,good,26230,other,4wd,pickup,red
216,albany,27990,2012,bmw,m3 convertible 2d,good,61881,other,rwd,other,black
217,dayton / springfield,2300,2005,honda,civic lx,good,217012,automatic,fwd,sedan,silver
218,tulsa,8900,2013,ford,f150 xlt,good,241126,automatic,4wd,pickup,white
219,central NJ,39990,2006,chevrolet,c5c042,good,59850,automatic,4wd,truck,red
220,sioux falls / SE SD,13750,2017,subaru,wrx,excellent,59911,automatic,4wd,sedan,black
221,syracuse,18900,2015,ford,transit cargo van,good,40850,automatic,rwd,van,white
222,madison,2700,2005,chevrolet,trailblazer,good,160000,automatic,4wd,sedan,silver
223,roanoke,5750,2009,nissan,pathfinder s,excellent,206987,automatic,rwd,SUV,white
224,maine,21995,2013,gmc,yukon denali,excellent,117000,automatic,4wd,SUV,black
225,fort collins / north CO,18043,2017,jeep,renegade sport,good,27764,automatic,4wd,other,red
226,raleigh / durham / CH,18000,2017,volkswagen,passat,excellent,45000,automatic,fwd,sedan,red
227,salem,22950,2019,toyota,tacoma 4wd,good,19121,automatic,4wd,pickup,grey
228,south florida,11777,2005,gmc,sierra 2500hd slt,excellent,123400,automatic,4wd,truck,white
229,bakersfield,17990,2019,dodge,grand caravan passenger se,good,23165,other,fwd,van,silver
230,anchorage / mat-su,14900,2018,nissan,rogue sv,like new,50,automatic,4wd,SUV,silver
231,detroit metro,17990,2019,toyota,corolla hatchback se 4d,good,19476,other,fwd,hatchback,brown
232,corpus christi,9850,2010,ford,f150,good,127522,automatic,rwd,pickup,white
233,dayton / springfield,8995,2012,chevrolet,traverse ls,excellent,89000,automatic,fwd,SUV,white
234,south coast,5495,2009,chevrolet,malibu,excellent,148131,automatic,fwd,sedan,blue
235,san antonio,7900,2014,dodge,avenger,like new,115000,automatic,fwd,sedan,blue
236,norfolk / hampton roads,18999,2014,ford,f-250 super duty,like new,208516,automatic,4wd,pickup,grey
237,jackson,34990,2019,ram,1500 crew cab big horn,good,4106,other,4wd,pickup,white
238,el paso,7,1993,gmc,yukon,excellent,188000,automatic,4wd,SUV,black
239,hudson valley,17997,2016,jeep,renegade,excellent,76874,automatic,4wd,SUV,grey
240,cincinnati,0,2010,chrysler,town country,excellent,33137,automatic,fwd,mini-van,yellow
241,fredericksburg,2900,2011,mazda,cx-7,excellent,206481,automatic,fwd,SUV,black
242,orange county,7800,2010,lexus,ls 460,good,12000,automatic,rwd,sedan,grey
243,port huron,14995,2010,ram,1500 4x4 slt crew cab,excellent,136000,automatic,4wd,pickup,orange
244,finger lakes,18995,2016,chevrolet,express cargo van,good,120216,automatic,rwd,van,white
245,pittsburgh,10990,2013,hyundai,elantra gt hatchback 4d,good,48128,automatic,fwd,hatchback,silver
246,akron / canton,3400,2009,chevrolet,cobalt,excellent,138768,automatic,fwd,sedan,grey
247,stockton,0,2008,honda,pilot,excellent,92000,automatic,fwd,SUV,grey
248,albuquerque,28999,2015,gmc,yukon xl slt,excellent,117551,automatic,4wd,SUV,black
249,north platte,5400,2009,dodge,grand caravan se,excellent,165000,automatic,fwd,mini-van,silver
250,lansing,7995,2015,chevrolet,malibu,excellent,171176,automatic,fwd,sedan,black
251,harrisburg,31988,2011,chevrolet,express passenger,good,30416,automatic,4wd,van,white
252,fargo / moorhead,37990,2019,ford,f250 superduty crew xlt 4x4,excellent,83802,automatic,4wd,truck,white
253,knoxville,39906,2018,ford,f-150 lariat,excellent,59589,automatic,4wd,truck,white
254,"kansas city, MO",12750,1968,chevrolet,c10,good,118,manual,rwd,truck,red
255,vermont,6000,2009,toyota,corolla,good,94229,automatic,fwd,sedan,white
256,rockford,23995,2015,bmw,x5,excellent,90658,automatic,4wd,SUV,black
257,dallas / fort worth,16500,2007,ford,super duty f-250,excellent,173636,automatic,4wd,pickup,white
258,cleveland,9200,2004,dodge,1500 slt,like new,72000,automatic,4wd,pickup,blue
259,santa barbara,11500,2012,honda,civic si,excellent,94901,manual,fwd,coupe,grey
260,houston,6500,2010,honda,odyssey ex-l,excellent,127200,automatic,fwd,van,white
261,boise,14995,2015,kia,sorento,excellent,72630,automatic,4wd,SUV,grey
262,eugene,599,2001,saturn,sc1 coupe,good,204531,manual,fwd,coupe,silver
263,st cloud,4990,2011,ram,pickup 1500,excellent,278000,automatic,4wd,pickup,white
264,annapolis,4000,1978,chevrolet,corvette,good,6000,automatic,rwd,coupe,blue
265,merced,34000,2017,chevrolet,silverado 1500 lt,excellent,28000,automatic,rwd,truck,grey
266,northwest CT,33590,2017,jeep,wrangler unlimited sport s,good,31548,other,4wd,other,black
267,sacramento,21988,2017,lexus,ct200h,like new,25501,automatic,fwd,hatchback,grey
268,fresno / madera,10200,2015,dodge,dart sxt sedan 4d,excellent,84735,automatic,fwd,sedan,grey
269,columbus,17990,2017,mini,hardtop 2 door cooper s,good,38066,other,fwd,hatchback,silver
270,valdosta,7498,2009,mercedes-benz,c-class,excellent,138124,automatic,rwd,sedan,silver
271,grand rapids,26955,2016,mercedes-benz,c-class,excellent,33891,automatic,4wd,sedan,grey
272,santa maria,7500,1994,ram,diesel cummins 2500,good,270278,automatic,rwd,truck,red
273,central michigan,31990,2015,chevrolet,silverado 1500 regular,good,5656,automatic,4wd,pickup,red
274,salem,13500,1955,ford,courier,good,55300,manual,rwd,wagon,red
275,chico,25995,2015,ford,f150 supercrew cab,excellent,96104,automatic,4wd,pickup,white
276,ft myers / SW florida,11990,2013,toyota,tacoma,like new,92000,automatic,rwd,pickup,white
277,bellingham,1475,1992,volvo,740 wagon,good,180000,automatic,rwd,wagon,grey
278,lancaster,299,2012,nissan,altima,excellent,118645,automatic,fwd,coupe,blue
279,milwaukee,9990,2015,dodge,grand caravan,excellent,88413,automatic,fwd,mini-van,white
280,green bay,32890,2018,ford,f-150 xlt supercab 4x4,like new,10308,automatic,4wd,truck,grey
281,seattle-tacoma,7000,1995,bmw,5 series 540i,excellent,98865,automatic,rwd,sedan,silver
282,indianapolis,2500,2009,nissan,altima,good,186000,automatic,fwd,sedan,white
283,myrtle beach,55000,2020,ram,1500 laramie sport 4wd,excellent,30329,automatic,4wd,truck,grey
284,wichita falls,3500,2007,kia,sportage ex,good,188000,automatic,rwd,SUV,grey
285,pittsburgh,19995,2014,mercedes-benz,ml350 4matic,excellent,72514,automatic,4wd,SUV,white
286,philadelphia,26500,2010,ford,f-250,like new,53900,automatic,4wd,truck,red
287,jacksonville,11950,2013,honda,odyssey touring,like new,113637,automatic,fwd,van,grey
288,merced,21990,2011,mercedes-benz,e-class e 350,good,33224,automatic,rwd,other,white
289,asheville,13100,2012,bmw,335i,excellent,114000,automatic,rwd,coupe,white
290,south bend / michiana,5900,2009,chevrolet,trailblazer lt,good,184098,automatic,fwd,SUV,grey
291,kalamazoo,13995,2017,chevrolet,cruze,good,4000,automatic,fwd,sedan,blue
292,detroit metro,1650,1999,mercedes-benz,s320,good,202000,automatic,rwd,sedan,black
293,salem,7850,1999,ford,f250 super duty,excellent,208000,automatic,rwd,pickup,white
294,flagstaff / sedona,12990,2015,mini,hardtop 2 door cooper s,good,71119,other,fwd,hatchback,black
295,raleigh / durham / CH,3000,1979,chevrolet,corvette,fair,144027,automatic,rwd,coupe,black
296,detroit metro,16990,2017,volkswagen,golf tsi s hatchback,good,10017,automatic,fwd,sedan,white
297,sarasota-bradenton,1000,1999,dodge,durango,fair,167000,automatic,4wd,wagon,red
298,nashville,38995,2014,ram,2500,excellent,154925,automatic,4wd,pickup,black
299,eau claire,600,2004,pontiac,grand am,fair,200000,automatic,fwd,other,grey
300,reno / tahoe,4500,2005,infiniti,g35,good,141000,manual,rwd,sedan,black
301,columbia,0,2011,ford,f-250 sd,good,0,automatic,rwd,truck,white
302,mansfield,4800,2010,gmc,acadia sle,good,198000,automatic,fwd,SUV,brown
303,treasure coast,15948,2018,ford,focus se,excellent,4209,automatic,fwd,sedan,blue
304,ft myers / SW florida,47900,2014,chevrolet,corvette stingray,excellent,31938,automatic,rwd,convertible,green
305,fredericksburg,12995,2009,chevrolet,tahoe lt,good,155000,automatic,4wd,SUV,black
306,south jersey,15950,2017,nissan,rogue sv sport,like new,28949,automatic,4wd,SUV,black
307,greenville / upstate,9980,2008,toyota,4runner,good,149063,automatic,rwd,SUV,silver
308,des moines,24990,2006,chevrolet,cc4500,good,116501,automatic,rwd,truck,white
309,finger lakes,13995,2015,subaru,forester,excellent,93886,automatic,4wd,wagon,silver
310,northern michigan,16595,2014,jeep,grand cherokee,good,125500,automatic,4wd,SUV,white
311,waco,52990,2015,gmc,sierra 2500hd,excellent,43791,automatic,4wd,truck,brown
