,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
1734,seattle-tacoma,8880,2012,honda,civic,excellent,102571,automatic,fwd,sedan,silver
1735,stockton,17900,2003,jeep,wrangler rubicon,excellent,107368,manual,4wd,offroad,silver
1736,albany,20500,1972,pontiac,gto,good,56000,automatic,rwd,coupe,red
1737,san diego,4200,2005,toyota,prius,good,163000,automatic,fwd,hatchback,silver
1738,stockton,15995,2017,ford,fusion se,excellent,30290,automatic,fwd,sedan,grey
1739,phoenix,3900,2007,cadillac,dts,fair,130000,automatic,fwd,sedan,black
1740,delaware,18590,2014,volkswagen,beetle 1.8t,good,10930,automatic,fwd,other,black
1741,raleigh / durham / CH,17999,2008,ford,f350 super duty lariat,excellent,162152,automatic,4wd,truck,brown
1742,los angeles,26000,2003,bmw,m3,like new,153942,manual,rwd,coupe,blue
1743,vermont,34990,2016,ford,super duty f-650 straight frame,good,106561,automatic,rwd,truck,white
1744,tucson,8999,2012,jeep,liberty,excellent,112720,automatic,4wd,SUV,grey
1745,janesville,9800,2007,ram,2500,fair,374042,automatic,4wd,pickup,black
1746,lansing,10999,1999,ford,f-250,good,104777,automatic,4wd,pickup,red
1747,nashville,9800,2010,ford,mustang convertible,excellent,120000,automatic,rwd,convertible,red
1748,chico,4995,2009,toyota,prius,excellent,230972,automatic,fwd,hatchback,white
1749,southeast KS,6988,2006,dodge,charger r/t,good,140971,automatic,rwd,sedan,red
1750,milwaukee,10995,2012,ford,edge sel,good,130439,automatic,4wd,SUV,black
1751,nashville,15990,2017,kia,optima hybrid premium sedan,good,27564,other,fwd,sedan,silver
1752,corpus christi,40590,2019,dodge,challenger r/t scat pack,good,1474,other,rwd,coupe,white
1753,tulsa,0,2018,chevrolet,camaro ss,excellent,37639,automatic,rwd,coupe,red
1754,pittsburgh,4495,2008,nissan,armada,good,224746,automatic,rwd,SUV,white
1755,maine,2900,2002,toyota,tundra sr5,fair,178000,automatic,4wd,truck,red
1756,wichita,6995,2005,ford,f-150,good,217000,automatic,4wd,pickup,white
1757,rochester,7000,2009,gmc,sierra 2500 hd,good,172185,automatic,4wd,pickup,blue
1758,stockton,14990,2015,mini,hardtop 2 door cooper,good,31832,automatic,fwd,hatchback,white
1759,tulsa,6950,2004,ford,mustang gt,excellent,72465,automatic,rwd,coupe,white
1760,tucson,5500,1997,ford,f350,excellent,207000,manual,rwd,truck,white
1761,boise,15995,2017,ford,fusion,good,57639,automatic,fwd,sedan,grey
1762,dallas / fort worth,13590,2015,ford,focus se hatchback 4d,good,14641,automatic,fwd,hatchback,red
1763,yakima,6999,2007,bmw,x5,excellent,174129,automatic,4wd,SUV,silver
1764,york,9500,2003,chevrolet,silverado 1500,good,151000,automatic,4wd,pickup,blue
1765,el paso,9995,2005,ford,f-250,good,107939,automatic,rwd,truck,white
1766,prescott,21990,2019,buick,cascada premium,good,24366,other,fwd,other,black
1767,duluth / superior,10986,2017,chevrolet,cruze,excellent,22609,manual,fwd,sedan,silver
1768,milwaukee,9995,2013,dodge,dart,excellent,74987,automatic,fwd,sedan,black
1769,oklahoma city,18000,2020,chevrolet,malibu lt,new,6280,automatic,fwd,sedan,white
1770,kirksville,5500,1986,ford,f-150,good,45000,automatic,rwd,pickup,white
1771,rochester,5500,2013,ford,fiesta se,excellent,58000,automatic,fwd,sedan,grey
1772,york,19990,2018,nissan,frontier king cab s,good,32564,other,fwd,pickup,white
1773,lincoln,6495,2010,toyota,corolla,excellent,92183,automatic,fwd,sedan,silver
1774,tyler / east TX,21999,2014,chevrolet,silverado 1500,excellent,163942,automatic,rwd,truck,brown
1775,ventura county,6200,2002,ford,f-150,good,110000,automatic,rwd,pickup,grey
1776,muskegon,13998,2016,kia,sorento,excellent,114118,automatic,4wd,wagon,custom
1777,rochester,17500,2016,honda,accord touring coupe 2d,excellent,69258,automatic,fwd,coupe,white
1778,boston,3995,2009,jeep,patriot sport 4x4,like new,90000,automatic,4wd,SUV,black
1779,macon / warner robins,10495,2007,chevrolet,avalanche,excellent,195976,automatic,4wd,pickup,black
1780,san diego,54000,2014,mercedes-benz,benz,excellent,110057,automatic,rwd,van,black
1781,myrtle beach,32990,2017,ram,1500 crew cab slt pickup 4d,good,26230,other,4wd,pickup,red
1782,portland,2500,2003,volkswagen,jetta,good,202000,manual,fwd,sedan,green
1783,pittsburgh,12590,2009,acura,tsx sedan 4d,good,64546,other,fwd,sedan,silver
1784,tucson,32990,2016,toyota,4runner sr5 sport utility,good,37274,automatic,4wd,other,red
1785,glens falls,6075,2015,mitsubishi,mirage,excellent,75853,manual,fwd,hatchback,black
1786,flint,2499,2007,chevrolet,uplander,excellent,164400,automatic,fwd,mini-van,silver
1787,bemidji,19990,2014,chevrolet,camaro ss,excellent,102415,manual,rwd,coupe,black
1788,worcester / central MA,8995,2011,acura,rdx sh-awd w/tech,like new,125000,automatic,4wd,SUV,black
1789,rochester,14990,2012,acura,tl sedan 4d,good,63100,automatic,fwd,sedan,black
1790,spokane / coeur d'alene,8000,2006,subaru,impreza wrx,excellent,167000,manual,4wd,sedan,blue
1791,youngstown,16500,2018,hyundai,santa fe sport,like new,48000,automatic,4wd,SUV,black
1792,SF bay area,12000,2012,mini,cooper,good,84244,manual,fwd,hatchback,silver
1793,appleton-oshkosh-FDL,8460,2007,jeep,liberty,excellent,74765,automatic,4wd,SUV,black
1794,hudson valley,36250,2017,ford,focus rs,excellent,19300,manual,4wd,hatchback,blue
1795,baltimore,11295,2015,ford,fusion,good,91061,automatic,4wd,sedan,grey
1796,albuquerque,13998,2013,bmw,x5 xdrive35i sport,excellent,98000,automatic,4wd,SUV,black
1797,el paso,2450,1998,infiniti,qx4,good,180000,automatic,4wd,SUV,brown
1798,harrisonburg,4250,2002,honda,accord ex,excellent,170000,automatic,fwd,coupe,white
1799,tulsa,0,2017,chevrolet,suburban,excellent,69511,automatic,4wd,SUV,silver
1800,maine,6450,2010,ford,edge,excellent,157391,automatic,4wd,sedan,black
1801,colorado springs,18999,2015,subaru,wrx,excellent,100788,manual,4wd,sedan,silver
1802,wausau,13995,2016,ford,fusion,excellent,58094,automatic,4wd,sedan,black
1803,southeast KS,14900,2012,ram,2500,good,143500,automatic,4wd,truck,white
1804,dallas / fort worth,3000,2009,gmc,acadia,like new,132000,automatic,fwd,SUV,white
1805,modesto,22990,2014,lexus,is 250 sedan 4d,good,25932,other,rwd,sedan,white
1806,green bay,17990,2012,mercedes-benz,e-class e 350,good,72436,automatic,rwd,sedan,black
1807,buffalo,9990,2012,honda,civic,excellent,95244,automatic,fwd,sedan,blue
1808,charlotte,8995,2009,mercedes-benz,ml350,excellent,111000,automatic,4wd,SUV,black
1809,new hampshire,12995,2010,toyota,tacoma,excellent,170000,automatic,4wd,pickup,silver
1810,mason city,950,1994,buick,park avenue,fair,176000,automatic,fwd,sedan,white
1811,north mississippi,4700,2012,dodge,charger,good,107000,automatic,rwd,sedan,white
1812,bend,15995,2014,ram,1500,excellent,118000,automatic,4wd,pickup,blue
1813,long island,13995,2016,toyota,corolla,good,62478,automatic,fwd,sedan,white
1814,rochester,21753,2014,ram,1500,excellent,95400,automatic,4wd,truck,red
1815,philadelphia,6000,2011,chevrolet,equinox,good,80800,automatic,fwd,SUV,brown
1816,spokane / coeur d'alene,3800,2004,mazda,3s,excellent,155368,automatic,fwd,sedan,grey
1817,bozeman,4999,2005,gmc,yukon xl denali,good,205447,automatic,4wd,SUV,silver
1818,poconos,26995,2011,ford,f250,excellent,102794,automatic,4wd,truck,blue
